Type,Name,Size,Shape,Data Type,Exception,Comment,AcqStamp
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjection,1200,"(1200,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings,4members,,,False,b'Camera exposure and delay',0
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BOVWA.06TCC4.AWAKECAM06,2members,,,,,
GROUP,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,21members,,,False,b'Upstream halo camera 426',1541962114466482692
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjection,1600,"(1600,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageRawData,1920000,"(1200, 1600)",int16,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjection,1200,"(1200,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings,4members,,,False,b'Upstream halo camera 426',0
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BOVWA.07TCC4.AWAKECAM07,2members,,,,,
GROUP,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage,21members,,,False,b'Upstream core camera 426',1541962114471477508
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjection,1600,"(1600,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageRawData,1920000,"(1200, 1600)",int16,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjection,1200,"(1200,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings,4members,,,False,b'Upstream core camera 426',0
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BOVWA.11TCC4.AWAKECAM11,2members,,,,,
GROUP,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage,21members,,,False,b'BTV 412354',1541962114463898628
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjection,1280,"(1280,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageRawData,1228800,"(960, 1280)",int16,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjection,960,"(960,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/width,1,"(1,)",int32,,,
GROUP,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings,4members,,,False,b'BTV 412354',0
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/delayTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/exposureTime,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/gain,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/triggerMode,1,"(1,)",bytes16,,,
GROUP,AwakeEventData/BPM.AWAKE.TT41,1members,,,,,
GROUP,AwakeEventData/BPM.AWAKE.TT41/Acquisition,7members,,,False,b'Beam position',1541962114533000000
DATASET,AwakeEventData/BPM.AWAKE.TT41/Acquisition/bpmNames,32,"(32,)",bytes120,,,
DATASET,AwakeEventData/BPM.AWAKE.TT41/Acquisition/dynDestination,1,"(1,)",bytes40,,,
DATASET,AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosOk,0,"(0,)",TypeError: No NumPy equivalent for TypeBitfieldID exists,,,
DATASET,AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosition,32,"(32,)",float32,,,
DATASET,AwakeEventData/BPM.AWAKE.TT41/Acquisition/nbOfBpms,1,"(1,)",int16,,,
DATASET,AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosOk,0,"(0,)",TypeError: No NumPy equivalent for TypeBitfieldID exists,,,
DATASET,AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosition,32,"(32,)",float32,,,
GROUP,AwakeEventData/BTV.TT41.412354_FILTER,1members,,,,,
GROUP,AwakeEventData/BTV.TT41.412354_FILTER/Acquisition,1members,,,,,
DATASET,AwakeEventData/BTV.TT41.412354_FILTER/Acquisition/position,1,"(1,)",int32,False,b'Filter for BTV 354',1541962118801684000
GROUP,AwakeEventData/BTV.TT41.412426_FWHEEL,1members,,,,,
GROUP,AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition,1members,,,,,
DATASET,AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition/position,1,"(1,)",int32,False,b'Filter position',1541962118801684000
GROUP,AwakeEventData/BTV.TT41.412426_MASK_H,1members,,,,,
GROUP,AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition,1members,,,,,
DATASET,AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition/position,1,"(1,)",int32,False,b'Mask position',1541962118801684000
GROUP,AwakeEventData/BTV.TT41.412426_MASK_V,1members,,,,,
GROUP,AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition,1members,,,,,
DATASET,AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition/position,1,"(1,)",int32,False,b'Mask position',1541962118801684000
GROUP,AwakeEventData/BTV.TT41.412442_FWHEEL,1members,,,,,
GROUP,AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition,1members,,,,,
DATASET,AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition/position,1,"(1,)",int32,False,b'Filter position',1541962118801684000
GROUP,AwakeEventData/BTV.TT41.412442_MASK_H,1members,,,,,
GROUP,AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition,1members,,,,,
DATASET,AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition/position,1,"(1,)",int32,False,b'Mask position',1541962118801684000
GROUP,AwakeEventData/BTV.TT41.412442_MASK_V,1members,,,,,
GROUP,AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition,1members,,,,,
DATASET,AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition/position,1,"(1,)",int32,False,b'Mask position',1541962118801684000
GROUP,AwakeEventData/EMETER02,1members,,,,,
GROUP,AwakeEventData/EMETER02/Acq,3members,,,False,b'Laser energy in J',1541962118589836000
DATASET,AwakeEventData/EMETER02/Acq/outOfRange,1,(),bool,,,
DATASET,AwakeEventData/EMETER02/Acq/value,1,"(1,)",float32,,,
DATASET,AwakeEventData/EMETER02/Acq/value_units,1,"(1,)",bytes8,,,
GROUP,AwakeEventData/EMETER03,1members,,,,,
GROUP,AwakeEventData/EMETER03/Acq,3members,,,False,b'Laser energy meter',1541962118589836000
DATASET,AwakeEventData/EMETER03/Acq/outOfRange,1,(),bool,,,
DATASET,AwakeEventData/EMETER03/Acq/value,1,"(1,)",float32,,,
DATASET,AwakeEventData/EMETER03/Acq/value_units,1,"(1,)",bytes8,,,
GROUP,AwakeEventData/EMETER04,1members,,,,,
GROUP,AwakeEventData/EMETER04/Acq,3members,,,False,b'Laser energy meter',1541962118589836000
DATASET,AwakeEventData/EMETER04/Acq/outOfRange,1,(),bool,,,
DATASET,AwakeEventData/EMETER04/Acq/value,1,"(1,)",float32,,,
DATASET,AwakeEventData/EMETER04/Acq/value_units,1,"(1,)",bytes8,,,
GROUP,AwakeEventData/EMETER05,1members,,,,,
GROUP,AwakeEventData/EMETER05/Acq,3members,,,False,b'UV laser e meter',1541962118589836000
DATASET,AwakeEventData/EMETER05/Acq/outOfRange,1,(),bool,,,
DATASET,AwakeEventData/EMETER05/Acq/value,1,"(1,)",float32,,,
DATASET,AwakeEventData/EMETER05/Acq/value_units,1,"(1,)",bytes8,,,
GROUP,AwakeEventData/FWHEEL01,1members,,,,,
GROUP,AwakeEventData/FWHEEL01/Acq,3members,,,False,b'TCC4 Fliter Wheel for Virtual Laser LIne',1541962118465070000
DATASET,AwakeEventData/FWHEEL01/Acq/backWheelPositionDescription,1,"(1,)",bytes48,,,
DATASET,AwakeEventData/FWHEEL01/Acq/frontWheelPositionDescription,1,"(1,)",bytes48,,,
DATASET,AwakeEventData/FWHEEL01/Acq/status,1,"(1,)",int32,,,
GROUP,AwakeEventData/GD_BPM.AWAKE.TRIUMF,2members,,,,,
GROUP,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS,6members,,,False,b'Electron BPM Acquistion for SPS shots',1541962114428000000
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/bpmNames,14,"(14,)",bytes144,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/horPos,14,"(14,)",float32,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/nbOfBpms,1,"(1,)",int32,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/posOK,1,"(1,)",TypeError: No NumPy equivalent for TypeBitfieldID exists,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/sigma,14,"(14,)",int32,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/verPos,14,"(14,)",float32,,,
GROUP,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition,10members,,,False,b'Average BPM position',1541962115235613525
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/bpmNames,14,"(14,)",bytes144,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPos,14,"(14,)",float32,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPosSelected,14,"(14,)",float32,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/nbOfBpms,1,"(1,)",int32,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOK,1,"(1,)",TypeError: No NumPy equivalent for TypeBitfieldID exists,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOkSelected,0,"(0,)",TypeError: No NumPy equivalent for TypeBitfieldID exists,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigma,14,"(14,)",float32,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigmaSelected,14,"(14,)",int32,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPos,14,"(14,)",float32,,,
DATASET,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPosSelected,14,"(14,)",float32,,,
GROUP,AwakeEventData/LSSE2,1members,,,,,
GROUP,AwakeEventData/LSSE2/Acq,1members,,,,,
DATASET,AwakeEventData/LSSE2/Acq/position,1,"(1,)",int32,False,b'UV cathode shutter',1541962118465076000
GROUP,AwakeEventData/LSSP2,1members,,,,,
GROUP,AwakeEventData/LSSP2/Acq,1members,,,,,
DATASET,AwakeEventData/LSSP2/Acq/position,1,"(1,)",int32,False,b'Laser shutter',1541962118465076000
GROUP,AwakeEventData/MPP-TSG41-MIRROR1-H,1members,,,,,
GROUP,AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition,1members,,,,,
DATASET,AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition/position,1,"(1,)",int32,False,b'XMPP streak mirror',1541962118851092000
GROUP,AwakeEventData/MPP-TSG41-MIRROR1-V,1members,,,,,
GROUP,AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition,1members,,,,,
DATASET,AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition/position,1,"(1,)",int32,False,b'XMPP streak mirror',1541962118851092000
GROUP,AwakeEventData/MPP-TSG41-WHEEL1-BI,1members,,,,,
GROUP,AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition,1members,,,,,
DATASET,AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition/position,1,"(1,)",int32,False,b'XMPP streak filter',1541962118851092000
GROUP,AwakeEventData/MPP-VACTRANS-CTR,1members,,,,,
GROUP,AwakeEventData/MPP-VACTRANS-CTR/Acquisition,5members,,,False,b'CTR Screen Position',1541962118851092000
DATASET,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/mmPosition,1,"(1,)",float64,,,
DATASET,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/position,1,"(1,)",int32,,,
DATASET,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/stepperBusy,1,(),bool,,,
DATASET,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchIn,1,(),bool,,,
DATASET,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchOut,1,(),bool,,,
GROUP,AwakeEventData/MPP-VACTRANS-OTR,1members,,,,,
GROUP,AwakeEventData/MPP-VACTRANS-OTR/Acquisition,5members,,,False,b'OTR Screen Position',1541962118851092000
DATASET,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/mmPosition,1,"(1,)",float64,,,
DATASET,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/position,1,"(1,)",int32,,,
DATASET,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/stepperBusy,1,(),bool,,,
DATASET,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchIn,1,(),bool,,,
DATASET,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchOut,1,(),bool,,,
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01,1members,,,,,
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement,3members,,,,,
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/leftLimitSwitchReached,1,(),bytes1024,True,b'TSG41 OTR Flipper',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/position,1,(),bytes1024,True,b'TSG41 OTR Flipper',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/rightLimitSwitchReached,1,(),bytes1024,True,b'TSG41 OTR Flipper',0
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02,1members,,,,,
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement,3members,,,,,
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/leftLimitSwitchReached,1,(),bytes1024,True,b'TSG41 CTR Flipper 1',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/position,1,(),bytes1024,True,b'TSG41 CTR Flipper 1',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/rightLimitSwitchReached,1,(),bytes1024,True,b'TSG41 CTR Flipper 1',0
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03,1members,,,,,
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement,3members,,,,,
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/leftLimitSwitchReached,1,(),bytes1024,True,b'TSG41 CTR Flipper 2',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/position,1,(),bytes1024,True,b'TSG41 CTR Flipper 2',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/rightLimitSwitchReached,1,(),bytes1024,True,b'TSG41 CTR Flipper 2',0
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04,1members,,,,,
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement,3members,,,,,
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/leftLimitSwitchReached,1,(),bytes1024,True,b'THis nothign please ignore',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/position,1,(),bytes1024,True,b'THis nothign please ignore',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/rightLimitSwitchReached,1,(),bytes1024,True,b'THis nothign please ignore',0
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09,1members,,,,,
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement,3members,,,,,
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/leftLimitSwitchReached,1,(),bytes1024,True,b'TT41 CTR Translator 1',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/position,1,(),bytes1024,True,b'TT41 CTR Translator 1',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/rightLimitSwitchReached,1,(),bytes1024,True,b'TT41 CTR Translator 1',0
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10,1members,,,,,
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement,3members,,,,,
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/leftLimitSwitchReached,1,(),bytes1024,True,b'TT41 CTR Translator 2',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/position,1,(),bytes1024,True,b'TT41 CTR Translator 2',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/rightLimitSwitchReached,1,(),bytes1024,True,b'TT41 CTR Translator 2',0
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11,1members,,,,,
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement,3members,,,,,
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/leftLimitSwitchReached,1,(),bytes1024,True,b'TT41 CTR Translator 3 n/c',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/position,1,(),bytes1024,True,b'TT41 CTR Translator 3 n/c',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/rightLimitSwitchReached,1,(),bytes1024,True,b'TT41 CTR Translator 3 n/c',0
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12,1members,,,,,
GROUP,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement,3members,,,,,
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/leftLimitSwitchReached,1,(),bytes1024,True,b'TT41 CTR Translator 3 n/c',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/position,1,(),bytes1024,True,b'TT41 CTR Translator 3 n/c',0
DATASET,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/rightLimitSwitchReached,1,(),bytes1024,True,b'TT41 CTR Translator 3 n/c',0
GROUP,AwakeEventData/MPPAWAKE-STANDA-12.AXIS01,1members,,,,,
GROUP,AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement,3members,,,,,
